u,v,pois_count
267949846,3060526432,1
267949853,297272450,3
267949853,1170269339,3
267949853,1189377054,3
267949861,423184210,3
267949861,2504144830,3
267949861,4376949426,3
268101405,10221528384,2
268101411,286715938,1
268106184,4247010726,1
268575762,24670659,1
268575762,24839872,1
268575762,2255813433,1
268575769,268575770,2
268575769,4337860022,2
268575769,9942236201,2
268575770,268575769,2
268575770,268575775,2
268575770,1784436503,2
268575775,268575770,2
268575775,751333550,2
268575775,9937131844,2
268575782,727379966,1
268575782,727379968,1
268575782,727379973,1
268575795,727379996,1
268575795,727379997,1
268575795,8364241200,1
268575803,727379994,1
268690821,3035052618,1
268690828,8085676,1
268690828,2899149635,1
268690828,8489747558,1
268694131,1438766531,1
268694131,1666886171,1
268694131,7430325753,1
269598165,31875648,1
269598171,4199695629,2
269598178,4337859998,1
270082769,270082785,2
270082769,2825666690,2
270082769,2825667717,2
270082772,270082775,2
270082772,2825667705,2
270082772,2825667715,2
270082775,270082772,2
270082775,270082777,2
270082775,297073377,2
270082775,1478887930,2
270082777,270082775,2
270082777,270082779,2
270082777,1478887876,2
270082779,270082777,2
270082779,1478887930,2
270082779,2825667737,2
270082779,2825667745,2
270082782,297073075,2
270082782,1479987415,2
270082782,2825667745,2
270082784,1478881255,2
270082784,2702347685,2
270082784,7217140791,2
270082785,270082769,2
