u,v,landuse_count
7766786,7766785,1
7766786,721492292,1
7766786,721492299,1
7766788,7766784,1
7766788,7766797,1
7766788,721492292,1
7766789,7766783,1
7766789,7766793,1
7766789,10982019987,1
7766793,7766785,1
7766793,7766789,1
7766793,7766794,1
7766793,254910155,1
7766794,7766780,1
7766794,7766793,1
7766794,24840259,1
7766797,7313655,1
7766797,7766788,1
7766797,721492299,1
7773008,7766780,1
7773008,24840257,1
7773008,25099540,1
7773013,24997021,1
7773013,3468170569,1
7773016,1141433636,1
7773017,7773018,1
7773017,24997021,1
7773017,1167180678,1
7773018,7773017,1
7773018,12733819,1
7773018,4693958445,1
7773019,21763344,1
7773019,1578305527,1
7773021,7773023,1
7773021,24691223,1
7773023,7773021,1
7773023,22985744,1
7773023,1204559290,1
7773024,1204559294,1
7773037,7773038,1
7773038,24977496,1
7773038,3284756506,1
7773042,24977500,1
7773042,368852049,1
7773042,1181485694,1
7773042,1614176212,1
7773043,279182306,1
7773043,9183244160,1
7773043,9183244164,1
7773044,25440061,1
7773044,1614176214,1
7773044,7455110421,1
7773045,1803806392,1
7773046,1614187169,1
7773046,3058660239,1
7773046,7455110442,1
7773049,4679112814,1
7773049,4679112816,1
7773049,7455110435,1
7773049,7869946124,1
7773050,4679112814,1
7773053,1614187169,1
7807321,33035860,1
7846717,7487077,1
7846717,7846718,1
7846717,298518060,1
7846717,9867029834,1
7846718,7846717,1
7846718,9865460416,1
7848555,20946242,1
7848555,1242099808,1
8032464,8032467,1
8032464,8901303,1
8032464,2760235822,1
8032467,8032464,1
8032467,5297638233,1
8032467,9067467684,1
8078318,253150331,1
8078318,606927434,1
8078318,606927472,1
8078320,253179904,1
8078320,253197174,1
8078320,2983465501,1
8078322,6952474335,1
8078323,17332931,1
8078323,253179904,1
8078323,3625203382,1
8078448,125409,1
8078448,3790337788,1
8078473,7625741,1
8078473,1660358331,1
8078474,7625741,1
8078474,2912471784,1
8078475,7626002,1
8078475,2523495879,1
8078475,7020360608,1
8078531,8302234,1
8078532,4973363468,1
8078534,310536923,1
8078535,8078536,1
8078535,21490662,1
8078535,21763343,1
8078535,21763346,1
8078536,8078535,1
8078536,21880791,1
8078566,7735674,1
8078566,8078567,1
8078566,8078575,1
8078567,7735673,1
8078567,8078566,1
8078567,8078572,1
8078567,18164010,1
8078571,8078572,1
8078571,8078573,1
8078571,25246946,1
8078571,1374739785,1
8078572,8078567,1
8078572,8078571,1
8078572,8078575,1
8078572,18164001,1
8078573,8078571,1
8078573,18164001,1
8078573,438089984,1
8078573,4725812211,1
8078575,8078566,1
8078575,8078572,1
8078575,25246946,1
8078576,1482081955,1
8078576,4725812211,1
8078576,9072338897,1
8079923,2701598252,1
8079923,5996601374,1
8081502,8081503,1
8081502,17546844,1
8081502,10624415896,1
8081503,8081502,1
8081503,73076534,1
8081503,286496981,1
8081522,18011398,1
8082256,8082270,1
8082257,9984293265,1
8082258,1377590132,1
8082258,1659103599,1
8082258,1659103621,1
8082259,8082260,1
8082259,8082279,1
8082259,1659103599,1
8082260,8082259,1
8082260,1659103318,1
8082260,1659103446,1
8082261,1605138498,1
8082261,1659103217,1
8082261,1659103318,1
8082266,1037983713,1
8082267,8082270,1
8082267,8082277,1
8082267,8082279,1
8082268,8082269,1
8082268,8082271,1
8082268,1037983713,1
8082269,6488623,1
8082269,8082268,1
8082269,268575810,1
8082270,8082256,1
8082270,8082267,1
8082270,1377590132,1
8082271,8082268,1
8082271,8082273,1
8082271,8082278,1
8082271,8082280,1
8082273,8082271,1
8082273,330108418,1
8082273,330108424,1
8082274,268575814,1
8082274,4199695889,1
8082274,7375071313,1
8082277,8082267,1
8082277,8082278,1
8082277,1037983713,1
8082278,8082271,1
8082278,8082277,1
8082278,8082279,1
8082278,298466184,1
8082279,8082259,1
8082279,8082267,1
8082279,8082278,1
8082279,1037988034,1
8082280,8082271,1
8082280,268575810,1
8082280,268575814,1
8082282,8082299,1
8082282,298466188,1
8082282,9984293268,1
8082283,2334460301,1
8082283,2364225913,1
8082283,3646996361,1
8082283,9984293273,1
8082284,8082286,1
8082286,8082284,1
8082286,2334460301,1
8082286,3745067960,1
8082287,270151708,1
8082287,3646996386,1
8082287,9984293266,1
8082287,9984293272,1
8082288,3646996385,1
8082288,9984293272,1
8082288,9984293275,1
8082294,1037988034,1
8082294,2201110435,1
8082294,3646998397,1
8082295,3646998398,1
8082299,8082282,1
8082299,8082301,1
8082299,9984293273,1
8082299,9984293274,1
8082301,8082299,1
8082301,8082303,1
8082301,1623906037,1
8082303,8082301,1
8082303,1623906039,1
8082303,5305138743,1
8082305,7476485,1
8082305,278189311,1
8082305,7373450479,1
8082308,17343216,1
8082308,278189311,1
8082308,5754863554,1
8082309,8082310,1
8082309,294222458,1
8082309,5754863554,1
8082310,8082309,1
8082310,294222459,1
8082310,294222469,1
8082310,4200057993,1
8082316,8082318,1
8082316,8089263,1
8082316,296199137,1
8082316,10004663141,1
8082318,7487096,1
8082318,8082316,1
8082318,8082319,1
8082318,10126553995,1
8082319,8082318,1
8082319,4287998380,1
8082319,8571002828,1
8082319,10199392045,1
8082325,4878712200,1
8082326,4878712201,1
8082326,5305145832,1
8082326,9830972390,1
8082326,9949466836,1
8084096,4181943938,1
8084539,8084545,1
8084539,300371892,1
8084539,1443465253,1
8084540,300371894,1
8084540,7323781300,1
8084540,10012933332,1
8084545,8084539,1
8084545,2302872134,1
8084545,10012933332,1
8084548,8084552,1
8084548,300371878,1
8084548,2302872134,1
8084548,10012933332,1
8084550,8084552,1
8084550,300371882,1
8084551,8084552,1
8084552,6503251,1
8084552,8084548,1
8084552,8084550,1
8084552,8084551,1
8084553,698027,1
8084553,8084557,1
8084555,698022,1
8084555,8084556,1
8084555,8084559,1
8084556,6503251,1
8084556,6503253,1
8084556,8084555,1
8084556,8084561,1
8084557,8084561,1
8084557,24996841,1
8084559,6503253,1
8084559,8084555,1
8084559,8084560,1
8084560,6503255,1
8084560,8084559,1
8084560,25902648,1
8084561,8084556,1
8084561,8084557,1
8084561,8084562,1
8084562,6503251,1
8084562,300371882,1
8084563,2327433451,1
8084563,2328511277,1
8084565,6503256,1
8084565,6503258,1
8084565,26634910,1
8084566,7636805,1
8084566,8120883,1
8084566,10974061558,1
8084676,6527591,1
8084676,17207371,1
8084676,291221962,1
8084676,291222068,1
8084677,16495092,1
8084677,17207375,1
8084677,17207376,1
8084677,4968563972,1
8084678,7469748,1
8084678,26673084,1
8084678,1620320069,1
8084679,8215309,1
8084680,8084681,1
8084680,8215305,1
8084680,8215309,1
8084681,7459409,1
8084681,8084680,1
8084681,473223988,1
8084682,8215299,1
8084682,456285395,1
8084682,1467929050,1
8084686,1467929050,1
8084686,6986707341,1
8084688,6527623,1
8084688,8084689,2
8084689,8084688,2
8084689,17400614,1
8084692,8084693,1
8084693,8084692,1
8084798,7459411,1
8084798,17400614,1
8084800,8084801,1
8084800,8084807,1
8084801,7459411,1
8084801,18055123,1
8084801,1368465929,1
8084802,4961285161,1
8084802,5454386254,1
8084802,5454386255,1
8084803,6527628,1
8084803,738971045,1
8084803,5454386254,1
8084804,4961357241,1
8084805,8655907737,1
8084806,8084807,1
8084806,1374754344,1
8084807,8084800,1
8084807,8084806,1
8084807,8085028,1
8084808,291424005,1
8084808,4961285228,1
8084808,8655907737,1
8084809,6527635,1
8084809,16495086,1
