u,v,roads_p_count
7481097,5494678856,3
7481098,267550712,7
7481098,3636998423,8
7481098,10908621344,7
7481117,1585604224,8
7481118,1578282374,3
7481118,5447566539,3
7481121,13118558,9
7481121,267550713,6
7487077,7846717,7
7487077,2226036741,5
7487077,9865771101,6
7487078,3106249630,4
7487078,3279874610,4
7487078,3627218947,7
7487081,8536105,4
7487081,1890508380,3
7487087,8082323,3
7487087,286403017,3
7487088,8570098559,3
7487088,8570098561,3
7487090,7487087,3
7487090,296199232,4
7487092,296199232,4
7487092,4732883899,5
7487092,7045977912,3
7487095,8089141,3
7487095,8089156,3
7487095,308212264,3
7487096,8082318,3
7487096,8089263,3
7487096,6450493996,3
7487097,296199152,5
7487097,308212264,3
7487097,10876850173,2
7493308,7476473,4
7493308,7493317,5
7493308,7372303148,4
7493314,7476468,5
7493314,3661137018,7
7493314,4895322151,3
7493317,7493308,5
7493317,1337359005,5
7493317,9691999948,4
7493318,268100822,5
7493318,286715935,4
7493319,286715935,3
7493319,7373471986,3
7493319,9789336886,3
7493352,296199204,4
7493352,1061696015,5
7493352,1579358172,4
7493352,4553099162,6
7493353,8089128,7
7493353,336229573,6
7493353,7024372446,6
7493355,10675847885,4
7493355,10675847888,4
7493355,10676015871,3
7493361,7493363,5
7493361,8217857,4
7493361,10107954182,5
7493363,7493361,5
7493363,7625723,4
7493363,7412645901,4
7493364,12725353,7
7493364,1455149867,5
7493364,5024852675,5
7493364,5024852691,5
7493365,7493400,4
7493365,7625720,4
7493365,5024852695,4
7493377,1629693021,4
7493377,9952724260,4
7493379,7493382,3
7493379,7493396,4
7493379,1629693021,3
7493380,7493382,3
7493380,7493393,3
7493380,1586930523,3
