u,v,railways_p_count
4502272982,4502272987,1
4502272984,4502272979,1
4502272985,4502272980,2
4502272986,4502272987,1
4502272987,4502272972,1
4502272987,4502272982,1
4502272987,4502272986,1
4502272987,4502272988,1
4502272988,4502272987,1
4502272991,4502273006,1
4502273005,4502273006,1
4502273006,4502272991,1
4502273006,4502273005,1
4514270009,7673074,1
4514270009,4514270010,1
4514270010,4514270009,1
4514270010,4514275720,2
4515629280,1555730315,2
4524327180,9893481691,1
4527950107,4527950108,2
4579502142,5274881181,2
4594375115,25951202,10
4604442729,10229248949,1
4608009844,4608009859,2
4608009855,4608009856,2
4608009856,4608009855,2
4608009859,4608009844,2
4614984637,8226678,1
4614984637,10594232160,1
4614984644,9156241447,1
4625203789,1584143227,2
4638070635,4638070641,2
4638070642,7397299,2
4638122037,4638122044,2
4638122044,4638122037,2
4638122044,4638122049,2
4638122049,4638122044,2
4645880154,727392860,1
4652099948,267024700,4
4669036170,9834698447,2
4669036178,8923658779,1
4669043012,1388596033,2
4669043028,2255974214,1
4669322436,4669322445,2
4669322445,4669322436,2
4684161321,4448244353,1
4692520609,10671281868,1
4692520610,10676015848,1
4720940851,4720940857,1
4720940851,4720940864,1
4720940857,4720940851,1
4720940864,4720940851,1
4725608644,4087209643,1
4725608650,1628379741,2
4730948518,276073724,2
4789456563,2367865231,4
4876779881,4876779880,5
4878969895,6949628467,4
4888130552,569015224,2
4927543941,4927543943,2
4927543941,8441650299,2
4927567104,17551032,2
4929000954,4929000955,3
4929074992,4929074991,4
4935428633,577282497,1
