u,v,traffic_p_count
8122133,8435712821,2
8122150,792849,2
8136339,725113,2
8136359,725128,1
8140222,793277,2
8140222,8140223,1
8140223,8140222,1
8140223,5949885273,1
8140223,9452645841,1
8140223,9452645843,1
8140224,793292,1
8140224,3452865935,1
8140224,9095774208,1
8140230,793294,2
8214785,698683,2
8214785,5275812475,1
8215313,8523898456,1
8217858,6488684,1
8225569,8225570,1
8225570,8225569,1
8225571,10932491776,1
8225573,8225576,2
8225576,8225573,2
8225576,8225578,2
8225576,297902600,1
8225578,8225576,2
8226675,9865771101,2
8226678,3100567816,1
8228713,3114728176,2
8228713,5315151304,4
8228713,5315151306,1
8228713,8132030090,1
8228714,3114728176,1
8228718,12729144,1
8228727,5315151304,2
8228728,10939340,2
8233764,781552,2
8233774,9658642216,1
8233778,4199771193,2
8233790,8233791,2
8233790,8233796,1
8233791,8233790,2
8233791,293234107,2
8233791,610608428,1
8233796,8233790,1
8235062,14781964,2
8235064,14781964,2
8302234,8078531,2
8302236,7773016,2
8302236,8078531,4
8302236,1477320632,2
8302236,1959065322,3
8302236,6733297037,1
8304790,10939340,1
8304791,7773013,2
8304793,8304794,1
8304794,8304793,1
8310696,7807323,2
8310696,20925445,2
8310704,1416074983,1
8321022,7235679,1
8321022,17552586,3
8322502,8322831,1
8322831,8322502,1
8322831,422981307,1
8324091,7056509068,1
8324091,9913869814,2
8324091,9913869816,1
8324091,9916531422,1
8324098,24987042,2
8324098,300094195,1
8324623,8324624,3
8324624,26630844,2
8325355,8084936,1
8327476,6527639,1
8328769,8510073129,1
8328770,5879572003,1
8447399,8085603,1
8447399,17556264,1
8447399,1281407906,1
8453809,6503284,1
8455231,10671281861,1
8455247,8538449,2
8463259,2226046441,1
8463260,9845593639,2
8463260,9867029834,1
8463261,1727407216,2
8463261,9865771099,2
8468145,7235713,2
8468149,7807323,2
8468150,1597545363,1
8470708,7646338,1
8536113,8538447,1
8536113,4895317487,1
8536113,9817494558,1
8536114,25284969,3
8536114,2534881862,2
8536114,10544085380,2
8538443,8447078656,2
8538447,8536113,1
8538449,8455247,2
8538468,3761448791,2
8538468,9712542354,2
8546303,6527605,2
8546303,8546306,1
8546304,8546307,2
8546304,1969034516,2
8546304,2255974215,2
8546304,5697186645,2
8546305,1905155285,2
8546305,2490874012,2
8546305,5917989286,2
8546305,8796321048,2
8546306,8546303,1
8546307,8546304,2
8546308,8796321042,1
8546318,7224384,2
8547297,8086659,1
8563523,2177678719,1
8563523,2178025592,3
8563523,2283747721,2
8574699,7640667,1
8574699,8088642,1
8574699,115428919,1
8877414,4745313121,1
8877415,3350399155,1
8877420,2283820143,2
8877420,3350399155,1
8891108,10305473,2
8891108,26187061,2
8891108,2701775193,3
8891108,2720158869,2
8891114,3474057473,1
8891513,8899944,1
8891513,4945423171,2
8892842,7726649,2
8895232,8085596,1
8899944,6504010,1
8899944,8891513,1
8899944,4945414577,1
8899944,6993867255,1
8901303,6504024,2
8907381,6778985985,1
8919786,26212051,2
8919786,274394353,1
8919786,6952603834,2
8919792,4950924986,1
8919795,2205997344,2
10289286,6503263,1
10289547,8324624,2
10305473,8891108,2
10437896,8087215,2
10437896,1531505268,2
10437896,4459313620,2
10437896,4876779881,1
10437896,6352788947,1
10437897,31468292,2
10437897,1020407248,2
10437897,4296995242,2
10776408,662914,2
10776412,5068032662,1
10776414,17852715,2
10776414,523636119,1
10776414,4513737666,1
10776417,4513737669,2
10938890,288845467,1
10939340,8228728,2
10939340,8304790,1
10939340,2975708194,2
10939341,576725,1
10939346,421416380,1
10939348,576726,1
11062528,698672,2
11062535,5996601373,1
11062536,2722426289,2
11062538,6504024,2
12723463,1341480228,1
12723473,9841230521,1
12727456,3350399155,1
12728022,8082281,2
12728022,294217386,2
12728022,10054014781,2
12728023,687878,2
12728023,12728022,3
12728023,294211789,1
12728028,12728023,1
12729144,8228718,1
12729145,8078531,2
12731094,294217386,2
12731475,269598202,2
12731475,8330082560,2
12733816,7432898427,1
12733820,7773013,2
13118558,13118559,1
13118559,7481117,1
13118559,13118561,2
14781941,24956250,1
14781964,8235062,2
14781964,25440120,2
14781964,10271361755,2
17034820,7302078,2
17176967,1140874295,2
17176967,1232305069,2
17176967,6013172872,2
17176967,10624439528,2
17176975,1803914970,1
17176975,6370760180,1
17176975,6499281753,2
17176975,7924143983,2
17176982,22527540,2
17176982,1803909380,1
17176982,8146445555,2
17207381,4710756730,1
17207400,1579405469,2
17207400,1634137825,2
17207400,1634147208,2
17207400,2206848492,2
17207401,4707701832,2
17207401,8117585797,2
17207401,8483842824,2
17207421,10169999418,1
17207423,10169999418,1
17232410,698656,2
17232420,1483299283,1
17332929,2066245917,2
17332929,2066245919,1
17332929,5481050548,1
17343193,296206801,2
17343193,2142583255,2
17343193,2283813943,2
17343195,7712502,2
17343195,296206797,2
17343195,2283813934,2
17343211,6937813500,1
17343213,296206725,1
17343213,6937813494,1
17343213,6937813497,1
17343217,6937813505,1
17345266,26489344,1
17345266,5712456591,2
17345266,8464556868,2
17345268,5970498700,1
17519633,125427,2
17519633,2119637703,2
17546839,1785106033,1
17546844,10624415893,1
17546849,17546856,1
17546849,20908356,1
17546849,282844351,1
17546849,1589517246,1
17546856,17546849,1
17551009,9324392803,1
17551013,9324424521,2
17551016,4935428607,1
17551021,4935428609,1
17551027,4927567106,1
17551030,6328318596,2
17551041,673974402,1
17551043,6805490193,1
17551064,4945395247,2
17552576,17552586,3
17552586,8321022,3
17552586,17552576,3
17552586,4958781421,1
17552586,8796321073,2
17552586,8796321074,2
17552613,265144986,1
17556264,8447399,1
17556289,8084929,2
17556298,7170216,1
17710382,1277414338,2
17710382,2025460911,2
17710382,4927557855,1
17710390,18165893,2
17710393,253197044,2
17710393,673974393,1
17710393,6952518838,2
17710399,22527546,2
17852690,287910044,2
17852690,1054587426,2
17852690,1418947936,2
17852690,2038058752,1
17852715,20917599,2
17852715,4513737666,2
17914817,335947762,1
17914817,1660636310,2
17914817,1802721907,2
17914817,8447283459,1
18011399,288845467,1
18011548,18011549,1
18011549,1784499658,1
18011549,3938259542,1
18023257,698656,2
18023268,8796321042,1
18023273,8796321048,1
18023275,7726641,2
18090355,8086173,1
18090359,18090360,1
18090360,18090359,1
18090394,8086173,1
18090399,4501323214,2
18090399,6466922273,2
18090416,1234226347,2
18090416,2067337709,2
18090416,8825937672,2
18164858,791986,1
18164859,4927487166,1
18164865,269259758,2
18164865,2207188938,2
18164865,2207188982,2
18164896,2207188938,1
18165892,269258437,2
18165892,2207188987,1
18165893,17710390,2
18165893,1064256570,2
18165893,1064256639,2
18165902,2025460911,1
18165907,1242123649,2
18165915,576726,1
18165915,792846,2
18176445,793285,1
18176445,4927576659,1
18176445,6401546320,1
18176446,455352909,1
18178297,455357199,2
18178297,1579639431,2
18178297,5837954931,2
18178298,4405965555,2
18178298,4519617456,1
18178298,4519617462,2
18178304,25506310,2
18178304,31268940,2
18178304,1418921479,2
18178304,1424169937,2
18178313,7952457259,1
18220161,578847502,1
18222739,5887504925,2
18222745,4726329566,1
18311956,9718172361,1
18311970,1146193435,1
20839566,3835639402,2
20849637,20849638,2
20849638,2160794873,2
20849638,4928282604,2
20908178,792844,2
20908245,781568,2
20908337,7726661,1
20908356,17546849,1
20908360,10566474915,1
20908366,10570480249,1
20908367,18164865,2
20908367,269259546,2
20908367,10570322863,2
20908376,20908379,1
20908379,20908376,1
20908382,1783390939,1
20908384,73082170,2
20908387,792844,2
20917599,4513737671,1
20917600,8488806546,1
20917603,1571216777,1
20917712,8321836227,1
20917715,2190032084,3
20917715,4636012233,3
20917717,8321836224,1
20917723,2190257464,1
20919922,1585523005,1
20919945,8324624,2
20922332,20922333,1
